color;code;r;g;b;special;count;bulk;;source: http://tinyurl.com/hama-rgb-csv 
white;h01;236;237;237;-;3000;true;;
cream;h02;240;232;185;-;1000;-;;
yellow;h03;240;185;1;-;3000;true;;
orange;h04;230;79;39;-;1000;-;;
red;h05;182;49;54;-;3000;true;;
pink;h06;225;136;159;-;1000;-;;
purple;h07;105;74;130;-;1000;-;;
dark blue (blue);h08;44;70;144;-;3000;true;;
light blue;h09;48;92;176;-;800;-;;
green;h10;37;104;71;-;1000;true;;
light green;h11;73;174;137;-;1000;-;;
brown;h12;83;65;55;-;1300;-;;
transparent red;h13;192;36;53;transp;-;-;;
transparent yellow;h14;240;185;1;transp;2000;true;;
transparent blue;h15;48;92;176;transp;-;-;;
transparent green;h16;55;184;118;transp;2000;true;;
grey;h17;131;136;138;-;2000;-;;
black;h18;46;47;49;-;1500;true;;
clear;h19;216;210;206;transp;900;-;;
reddish brown;h20;127;51;42;-;2000;-;;
light brown;h21;165;105;63;-;-;-;;
dark red;h22;165;45;54;-;-;-;;
n/a;h23;-;-;-;-;-;-;;
translucent purple;h24;104;62;154;transp;-;-;;
translucent brown;h25;135;89;61;transp;-;-;;
flesh;h26;222;155;144;-;2000;-;;
beige;h27;222;180;139;-;-;-;;
army (dark green);h28;54;63;56;-;-;-;;
claret (beige);h29;185;57;94;-;1000;-;;
burgundy;h30;89;47;56;-;1000;-;;
turquoise;h31;103;151;174;-;-;-;;
neon pink (fuchsia);h32;255;32;141;-;-;-;;
cerise;h33;255;57;86;-;-;-;;
neon yellow;h34;229;239;19;transp;-;-;;
neon red;h35;255;40;51;transp;-;-;;
neon blue;h36;35;83;176;transp;-;-;;
neon green;h37;6;183;60;transp;2000;true;;
neon orange;h38;253;134;0;transp;2000;true;;
fluorescent yellow;h39;241;242;28;-;-;-;;
fluorescent orange;h40;254;99;11;-;200;-;;
fluorescent blue;h41;38;89;178;-;-;-;;
fluorescent green;h42;12;189;81;-;-;-;;
pastel yellow;h43;240;234;55;-;100;-;;
pastel red;h44;238;105;114;-;-;-;;
pastel purple;h45;136;109;185;-;1000;-;;
pastel blue;h46;98;158;215;-;-;-;;
pastel green;h47;131;203;112;-;3000;-;;
pastel pink;h48;207;112;183;-;1000;-;;
azure;h49;73;152;188;-;1000;-;;
-;h50;-;-;-;-;-;-;;
-;h51;-;-;-;-;-;-;;
-;h52;-;-;-;-;-;-;;
-;h53;-;-;-;-;-;-;;
-;h54;-;-;-;-;-;-;;
glow i/t dark green;h55;106;255;160;glowtransp;-;-;;
glow i/t dark red;h56;255;236;255;glowtransp;-;-;;
glow i/t dark blue;h57;144;170;244;glowtransp;800;-;;
-;h58;-;-;-;-;-;-;;
-;h59;-;-;-;-;-;-;;
teddy brown;h60;255;104;31;-;-;-;;
metallic gold;h61;227;168;87;-;-;-;;
metallic silver;h62;191;184;165;-;3000;-;;
metallic bronze;h63;108;84;30;-;-;-;;
metallic pearl;h64;240;232;185;-;-;-;;
-;h65;-;-;-;-;-;-;;
-;h66;-;-;-;-;-;-;;
-;h67;-;-;-;-;-;-;;
-;h68;-;-;-;-;-;-;;
-;h69;-;-;-;-;-;-;;
-;h70;-;-;-;-;-;-;;
dark grey;h71;30;30;30;-;3000;-;;
transparent pink;h72;255;32;141;transp;-;-;;
transparent aqua;h73;0;255;255;transp;-;-;;
transparent lavender;h74;230;230;250;transp;-;-;;
